IP:PORT, LOSS, DELAY
[2606:4700:d0::0633:a23f:eaba:8e7e]:878,0.00%,264 ms
[2606:4700:d1::b3e2:b483:eaa0:e63d]:1701,0.00%,264 ms
[2606:4700:d0::6320:283d:fa5b:aeea]:1701,0.00%,264 ms
[2606:4700:d0::70b7:de3a:e712:4eef]:878,0.00%,264 ms
[2606:4700:d1::de2e:41bc:ca3d:0122]:1701,0.00%,264 ms
[2606:4700:d1::61a7:66d2:7b23:e4fb]:1701,0.00%,264 ms
[2606:4700:d0::2784:3d80:fa35:aeea]:1701,0.00%,265 ms
[2606:4700:d1::87b9:d46b:0963:e599]:878,0.00%,265 ms
[2606:4700:d0::86d3:061d:36e1:38c8]:878,0.00%,265 ms
[2606:4700:d0::0e88:d3dc:6625:4323]:878,0.00%,265 ms
[2606:4700:d1::5895:66ea:7f94:d80e]:1701,0.00%,265 ms
[2606:4700:d1::72b1:0ccf:1d40:95c1]:1701,0.00%,265 ms
[2606:4700:d0::25dd:1a0d:7b78:be35]:878,0.00%,265 ms
[2606:4700:d1::7b8a:81a5:1451:175e]:1701,0.00%,265 ms
[2606:4700:d0::9209:1ea2:3460:e2b2]:1701,0.00%,265 ms
[2606:4700:d0::3426:022f:1c37:5e96]:1701,0.00%,265 ms
[2606:4700:d0::07b9:149c:abb2:7c1a]:878,0.00%,265 ms
[2606:4700:d0::8bdc:b64d:49b5:97c3]:878,0.00%,266 ms
[2606:4700:d0::122f:ec4a:c57c:c15e]:878,0.00%,266 ms
[2606:4700:d0::7375:bd85:53f7:7abe]:1701,0.00%,266 ms
[2606:4700:d0::cae4:f824:095b:80e4]:1701,0.00%,267 ms
[2606:4700:d1::733a:1766:f97c:f451]:1701,0.00%,267 ms
[2606:4700:d0::8b90:9ecb:3b55:b3c0]:1701,0.00%,267 ms
[2606:4700:d0::6d28:1690:b846:0bec]:1701,0.00%,267 ms
[2606:4700:d0::3c07:b33e:c454:79d2]:1701,0.00%,267 ms
[2606:4700:d0::4028:f1a5:13f6:1f6b]:1701,0.00%,268 ms
[2606:4700:d0::edfa:0a69:c92d:d6bd]:878,0.00%,268 ms
