IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.58.201,443,443,TRUE,FRA,Europe,Frankfurt,210,10.27
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,186,10.27
34.32.225.217,443,443,TRUE,FRA,Europe,Frankfurt,183,10.27
34.118.63.12,443,443,TRUE,FRA,Europe,Frankfurt,186,10.28
34.116.179.159,443,443,TRUE,FRA,Europe,Frankfurt,205,10.28
34.116.142.32,443,443,TRUE,FRA,Europe,Frankfurt,264,10.28
34.118.82.162,443,443,TRUE,FRA,Europe,Frankfurt,198,10.29
34.65.168.242,443,443,TRUE,FRA,Europe,Frankfurt,172,10.29
34.159.236.15,443,443,TRUE,FRA,Europe,Frankfurt,188,10.29
34.116.187.139,443,443,TRUE,FRA,Europe,Frankfurt,201,10.29
34.65.101.177,443,443,TRUE,FRA,Europe,Frankfurt,166,10.3
35.204.33.7,443,443,TRUE,FRA,Europe,Frankfurt,183,10.3
34.65.101.177,443,443,TRUE,FRA,Europe,Frankfurt,174,10.32
34.65.213.121,443,443,TRUE,FRA,Europe,Frankfurt,176,10.32
34.90.128.241,443,443,TRUE,FRA,Europe,Frankfurt,175,10.33
34.118.77.217,443,443,TRUE,FRA,Europe,Frankfurt,186,10.35
34.116.236.156,443,443,TRUE,FRA,Europe,Frankfurt,195,10.36
34.65.206.57,443,443,TRUE,FRA,Europe,Frankfurt,199,10.36
35.204.12.240,443,443,TRUE,FRA,Europe,Frankfurt,176,10.36
34.116.178.157,443,443,TRUE,FRA,Europe,Frankfurt,225,10.36
34.65.53.29,443,443,TRUE,FRA,Europe,Frankfurt,199,10.37
34.116.148.227,443,443,TRUE,FRA,Europe,Frankfurt,268,10.37
35.204.110.138,443,443,TRUE,FRA,Europe,Frankfurt,164,10.37
35.204.55.202,443,443,TRUE,FRA,Europe,Frankfurt,177,10.38
34.116.143.230,443,443,TRUE,FRA,Europe,Frankfurt,187,10.4
34.154.113.234,443,443,TRUE,FRA,Europe,Frankfurt,184,10.4
34.159.166.105,443,443,TRUE,FRA,Europe,Frankfurt,193,10.41
34.90.60.161,443,443,TRUE,FRA,Europe,Frankfurt,184,10.41
35.204.195.174,443,443,TRUE,FRA,Europe,Frankfurt,176,10.42
34.65.175.149,443,443,TRUE,FRA,Europe,Frankfurt,176,10.43
34.154.67.14,443,443,TRUE,FRA,Europe,Frankfurt,186,10.43
34.116.206.109,443,443,TRUE,FRA,Europe,Frankfurt,190,10.45
35.198.162.11,443,443,TRUE,FRA,Europe,Frankfurt,179,10.45
34.65.216.199,443,443,TRUE,FRA,Europe,Frankfurt,188,10.46
34.116.176.165,443,443,TRUE,FRA,Europe,Frankfurt,188,10.46
34.159.76.62,443,443,TRUE,FRA,Europe,Frankfurt,181,10.46
34.91.241.171,443,443,TRUE,FRA,Europe,Frankfurt,172,10.47
34.154.37.0,443,443,TRUE,FRA,Europe,Frankfurt,178,10.49
34.118.122.213,443,443,TRUE,FRA,Europe,Frankfurt,177,10.51
35.204.20.220,443,443,TRUE,FRA,Europe,Frankfurt,179,10.52
34.65.206.57,443,443,TRUE,FRA,Europe,Frankfurt,176,10.53
34.118.51.3,443,443,TRUE,CDG,Europe,Paris,187,10.53
34.32.178.41,443,443,TRUE,FRA,Europe,Frankfurt,161,10.54
34.65.239.218,443,443,TRUE,FRA,Europe,Frankfurt,178,10.57
35.198.191.143,443,443,TRUE,FRA,Europe,Frankfurt,182,10.58
34.91.190.132,443,443,TRUE,CDG,Europe,Paris,175,10.58
34.65.137.118,443,443,TRUE,FRA,Europe,Frankfurt,167,10.58
34.65.19.61,443,443,TRUE,FRA,Europe,Frankfurt,166,10.58
34.65.69.117,443,443,TRUE,FRA,Europe,Frankfurt,185,10.58
34.65.110.108,443,443,TRUE,FRA,Europe,Frankfurt,171,10.59
34.65.196.170,443,443,TRUE,FRA,Europe,Frankfurt,174,10.59
35.204.129.97,443,443,TRUE,FRA,Europe,Frankfurt,178,10.59
34.65.216.199,443,443,TRUE,FRA,Europe,Frankfurt,177,10.6
34.65.245.65,443,443,TRUE,FRA,Europe,Frankfurt,174,10.6
34.65.113.100,443,443,TRUE,CDG,Europe,Paris,164,10.6
34.65.79.91,443,443,TRUE,FRA,Europe,Frankfurt,178,10.61
34.91.79.42,443,443,TRUE,FRA,Europe,Frankfurt,179,10.61
34.91.48.184,443,443,TRUE,FRA,Europe,Frankfurt,194,10.61
34.65.150.148,443,443,TRUE,FRA,Europe,Frankfurt,175,10.62
34.65.10.109,443,443,TRUE,FRA,Europe,Frankfurt,174,10.62
34.91.83.51,443,443,TRUE,FRA,Europe,Frankfurt,178,10.63
34.65.133.57,443,443,TRUE,FRA,Europe,Frankfurt,174,10.64
34.116.138.156,443,443,TRUE,FRA,Europe,Frankfurt,194,10.64
34.159.137.67,443,443,TRUE,FRA,Europe,Frankfurt,164,10.64
34.116.142.32,443,443,TRUE,FRA,Europe,Frankfurt,177,10.65
34.154.106.127,443,443,TRUE,FRA,Europe,Frankfurt,181,10.66
35.204.134.232,443,443,TRUE,FRA,Europe,Frankfurt,182,10.66
34.65.111.146,443,443,TRUE,FRA,Europe,Frankfurt,251,10.67
35.242.227.8,443,443,TRUE,AMS,Europe,Amsterdam,239,10.67
35.204.7.211,443,443,TRUE,FRA,Europe,Frankfurt,180,10.67
34.91.12.47,443,443,TRUE,FRA,Europe,Frankfurt,179,10.68
34.90.108.106,443,443,TRUE,FRA,Europe,Frankfurt,181,10.68
34.154.113.182,443,443,TRUE,FRA,Europe,Frankfurt,182,10.68
34.154.28.58,443,443,TRUE,FRA,Europe,Frankfurt,222,10.68
34.65.35.144,443,443,TRUE,FRA,Europe,Frankfurt,184,10.68
34.154.20.202,443,443,TRUE,FRA,Europe,Frankfurt,180,10.69
34.65.132.164,443,443,TRUE,FRA,Europe,Frankfurt,176,10.69
34.65.181.51,443,443,TRUE,FRA,Europe,Frankfurt,184,10.69
34.65.202.52,443,443,TRUE,FRA,Europe,Frankfurt,173,10.7
35.204.253.58,443,443,TRUE,CDG,Europe,Paris,176,10.7
34.91.31.93,443,443,TRUE,FRA,Europe,Frankfurt,162,10.7
34.118.28.224,443,443,TRUE,FRA,Europe,Frankfurt,232,10.7
34.154.252.224,443,443,TRUE,FRA,Europe,Frankfurt,184,10.7
34.65.115.57,443,443,TRUE,FRA,Europe,Frankfurt,179,10.71
34.65.62.133,443,443,TRUE,FRA,Europe,Frankfurt,178,10.71
34.116.140.78,443,443,TRUE,FRA,Europe,Frankfurt,176,10.72
35.198.173.47,443,443,TRUE,FRA,Europe,Frankfurt,184,10.72
34.116.154.245,443,443,TRUE,FRA,Europe,Frankfurt,209,10.72
34.90.158.204,443,443,TRUE,FRA,Europe,Frankfurt,179,10.73
34.90.235.70,443,443,TRUE,FRA,Europe,Frankfurt,176,10.73
34.91.12.47,443,443,TRUE,AMS,Europe,Amsterdam,181,10.73
35.204.227.4,443,443,TRUE,FRA,Europe,Frankfurt,162,10.73
34.65.188.48,443,443,TRUE,FRA,Europe,Frankfurt,175,10.73
34.147.91.171,443,443,TRUE,FRA,Europe,Frankfurt,217,10.73
34.65.193.203,443,443,TRUE,FRA,Europe,Frankfurt,176,10.73
34.65.238.141,443,443,TRUE,FRA,Europe,Frankfurt,178,10.74
34.65.111.146,443,443,TRUE,FRA,Europe,Frankfurt,175,10.74
34.91.91.210,443,443,TRUE,FRA,Europe,Frankfurt,177,10.74
34.65.213.121,443,443,TRUE,FRA,Europe,Frankfurt,174,10.74
34.65.245.65,443,443,TRUE,FRA,Europe,Frankfurt,182,10.74
35.204.129.121,443,443,TRUE,FRA,Europe,Frankfurt,196,10.75
34.91.12.47,443,443,TRUE,FRA,Europe,Frankfurt,176,10.75
34.91.12.47,443,443,TRUE,FRA,Europe,Frankfurt,176,10.75
