IP:PORT, LOSS, DELAY
188.114.99.12:939,0.00%,263 ms
162.159.192.186:934,0.00%,263 ms
188.114.96.242:7103,0.00%,263 ms
188.114.98.196:3476,0.00%,263 ms
162.159.192.245:3138,0.00%,263 ms
188.114.96.154:1014,0.00%,263 ms
162.159.192.126:3138,0.00%,263 ms
188.114.98.239:891,0.00%,263 ms
188.114.99.210:1387,0.00%,263 ms
188.114.96.6:942,0.00%,263 ms
188.114.97.25:1014,0.00%,263 ms
162.159.195.118:903,0.00%,263 ms
162.159.195.93:1002,0.00%,263 ms
188.114.97.6:946,0.00%,263 ms
162.159.195.59:1387,0.00%,264 ms
162.159.192.99:8742,0.00%,264 ms
162.159.192.105:8742,0.00%,264 ms
188.114.98.218:880,0.00%,264 ms
162.159.192.189:934,0.00%,264 ms
162.159.192.242:3138,0.00%,264 ms
188.114.97.167:8319,0.00%,264 ms
188.114.98.156:859,0.00%,264 ms
188.114.98.50:1010,0.00%,264 ms
188.114.99.16:939,0.00%,264 ms
162.159.195.215:3476,0.00%,264 ms
188.114.97.228:4233,0.00%,264 ms
188.114.99.95:3476,0.00%,264 ms
162.159.195.162:8319,0.00%,264 ms
188.114.97.163:8319,0.00%,264 ms
188.114.98.229:880,0.00%,264 ms
188.114.96.240:934,0.00%,264 ms
162.159.192.135:1002,0.00%,264 ms
188.114.98.179:908,0.00%,264 ms
162.159.195.93:2506,0.00%,264 ms
188.114.99.248:1074,0.00%,264 ms
162.159.195.56:7152,0.00%,264 ms
162.159.192.130:3581,0.00%,264 ms
188.114.98.30:7559,0.00%,264 ms
188.114.97.154:4233,0.00%,265 ms
188.114.96.146:1070,0.00%,265 ms
188.114.99.9:7156,0.00%,265 ms
162.159.192.211:3581,0.00%,265 ms
188.114.99.173:1002,0.00%,265 ms
162.159.195.72:1387,0.00%,265 ms
188.114.96.216:7559,0.00%,265 ms
188.114.99.82:5279,0.00%,265 ms
188.114.96.87:7281,0.00%,265 ms
188.114.98.180:908,0.00%,265 ms
188.114.98.62:3581,0.00%,265 ms
188.114.98.82:8854,0.00%,265 ms
162.159.192.217:8854,0.00%,265 ms
188.114.97.229:4233,0.00%,265 ms
188.114.98.41:7152,0.00%,265 ms
188.114.99.178:1180,0.00%,265 ms
188.114.97.89:8742,0.00%,265 ms
188.114.98.59:859,0.00%,266 ms
162.159.195.118:878,0.00%,266 ms
188.114.98.71:859,0.00%,266 ms
188.114.97.222:955,0.00%,266 ms
188.114.98.156:8742,0.00%,266 ms
188.114.99.82:4198,0.00%,266 ms
188.114.98.147:8742,0.00%,266 ms
188.114.98.248:894,0.00%,266 ms
188.114.97.213:4177,0.00%,266 ms
188.114.98.54:1010,0.00%,266 ms
162.159.195.145:894,0.00%,266 ms
188.114.96.161:945,0.00%,266 ms
188.114.97.62:7281,0.00%,266 ms
162.159.195.162:8742,0.00%,266 ms
188.114.99.138:7103,0.00%,266 ms
188.114.96.165:955,0.00%,266 ms
188.114.96.172:955,0.00%,266 ms
188.114.98.11:987,0.00%,267 ms
162.159.192.216:3854,0.00%,267 ms
188.114.97.125:864,0.00%,267 ms
162.159.192.248:3138,0.00%,267 ms
188.114.97.213:955,0.00%,267 ms
188.114.96.140:987,0.00%,267 ms
188.114.98.30:955,0.00%,267 ms
188.114.99.62:7156,0.00%,267 ms
188.114.98.214:1843,0.00%,267 ms
188.114.99.147:3476,0.00%,267 ms
162.159.195.35:934,0.00%,267 ms
188.114.96.193:946,0.00%,267 ms
188.114.99.159:4233,0.00%,267 ms
188.114.97.125:903,0.00%,267 ms
188.114.96.132:1180,0.00%,267 ms
188.114.99.158:1002,0.00%,267 ms
188.114.96.226:7559,0.00%,267 ms
162.159.195.119:903,0.00%,267 ms
162.159.192.81:7103,0.00%,267 ms
188.114.96.172:3138,0.00%,267 ms
188.114.98.197:1014,0.00%,267 ms
188.114.98.85:946,0.00%,267 ms
162.159.192.104:8742,0.00%,267 ms
188.114.97.245:987,0.00%,268 ms
188.114.99.67:3138,0.00%,268 ms
188.114.98.229:3476,0.00%,268 ms
188.114.96.3:3138,0.00%,268 ms
188.114.96.84:4233,0.00%,268 ms
188.114.98.61:3581,0.00%,268 ms
188.114.96.142:1070,0.00%,268 ms
188.114.97.245:1074,0.00%,268 ms
188.114.99.80:5279,0.00%,268 ms
188.114.99.116:859,0.00%,268 ms
188.114.96.48:903,0.00%,268 ms
188.114.98.200:1014,0.00%,268 ms
162.159.195.126:903,0.00%,268 ms
188.114.97.128:943,0.00%,268 ms
188.114.99.131:7103,0.00%,268 ms
188.114.99.9:939,0.00%,268 ms
162.159.192.81:4177,0.00%,268 ms
162.159.195.4:3581,0.00%,268 ms
162.159.192.66:1074,0.00%,268 ms
162.159.192.251:3138,0.00%,268 ms
188.114.98.234:890,0.00%,268 ms
162.159.192.183:934,0.00%,268 ms
162.159.192.89:1002,0.00%,268 ms
188.114.97.196:878,0.00%,268 ms
162.159.192.178:1180,0.00%,269 ms
188.114.99.137:7103,0.00%,269 ms
188.114.99.174:1180,0.00%,269 ms
188.114.96.79:2408,0.00%,269 ms
162.159.192.173:4177,0.00%,269 ms
188.114.97.196:908,0.00%,269 ms
188.114.98.175:8319,0.00%,269 ms
188.114.97.248:987,0.00%,269 ms
162.159.192.114:988,0.00%,269 ms
188.114.96.192:943,0.00%,269 ms
188.114.97.114:864,0.00%,269 ms
162.159.192.114:3138,0.00%,269 ms
188.114.99.206:1002,0.00%,269 ms
188.114.96.185:955,0.00%,269 ms
188.114.99.150:939,0.00%,269 ms
188.114.97.5:934,0.00%,269 ms
188.114.99.108:7559,0.00%,269 ms
162.159.195.70:5279,0.00%,269 ms
162.159.192.67:7281,0.00%,269 ms
162.159.195.122:878,0.00%,269 ms
162.159.195.113:878,0.00%,270 ms
188.114.96.232:7103,0.00%,270 ms
188.114.97.186:878,0.00%,270 ms
162.159.192.251:946,0.00%,270 ms
162.159.192.184:8886,0.00%,270 ms
162.159.195.215:928,0.00%,270 ms
162.159.192.57:1074,0.00%,270 ms
188.114.96.173:955,0.00%,270 ms
162.159.192.199:3581,0.00%,270 ms
188.114.96.237:7103,0.00%,270 ms
188.114.97.144:3581,0.00%,270 ms
162.159.192.104:1070,0.00%,270 ms
162.159.192.157:8742,0.00%,270 ms
162.159.192.155:8742,0.00%,270 ms
188.114.98.163:8319,0.00%,270 ms
188.114.98.241:891,0.00%,270 ms
162.159.192.123:988,0.00%,270 ms
162.159.192.128:5279,0.00%,270 ms
162.159.192.23:968,0.00%,270 ms
162.159.192.181:7559,0.00%,270 ms
188.114.98.21:7559,0.00%,270 ms
188.114.96.112:4198,0.00%,270 ms
188.114.97.195:878,0.00%,270 ms
188.114.96.185:3138,0.00%,270 ms
188.114.99.126:7103,0.00%,270 ms
188.114.99.196:1701,0.00%,270 ms
188.114.99.238:1074,0.00%,271 ms
162.159.192.127:5279,0.00%,271 ms
188.114.98.53:1070,0.00%,271 ms
188.114.96.239:934,0.00%,271 ms
188.114.96.111:4198,0.00%,271 ms
162.159.195.248:955,0.00%,271 ms
162.159.192.135:943,0.00%,271 ms
188.114.96.176:3138,0.00%,271 ms
188.114.97.173:2371,0.00%,271 ms
162.159.192.157:4233,0.00%,271 ms
188.114.99.76:7156,0.00%,271 ms
162.159.195.116:878,0.00%,271 ms
162.159.192.49:3854,0.00%,271 ms
162.159.192.205:3581,0.00%,271 ms
162.159.192.206:500,0.00%,271 ms
188.114.96.253:3138,0.00%,271 ms
188.114.97.240:4233,0.00%,271 ms
188.114.98.254:894,0.00%,271 ms
162.159.195.74:1387,0.00%,271 ms
162.159.195.95:2506,0.00%,271 ms
162.159.192.86:4177,0.00%,271 ms
162.159.195.48:7152,0.00%,271 ms
188.114.96.61:7559,0.00%,271 ms
188.114.97.208:939,0.00%,271 ms
188.114.99.59:864,0.00%,271 ms
162.159.195.151:8742,0.00%,272 ms
188.114.97.32:987,0.00%,272 ms
162.159.195.36:934,0.00%,272 ms
162.159.195.232:945,0.00%,272 ms
162.159.195.144:1074,0.00%,272 ms
188.114.96.229:934,0.00%,272 ms
162.159.195.128:903,0.00%,272 ms
188.114.99.61:864,0.00%,272 ms
162.159.192.63:1074,0.00%,272 ms
188.114.99.0:934,0.00%,272 ms
188.114.97.242:1074,0.00%,272 ms
162.159.192.211:500,0.00%,272 ms
162.159.192.39:968,0.00%,272 ms
188.114.97.41:987,0.00%,272 ms
162.159.192.128:3581,0.00%,272 ms
188.114.97.232:4233,0.00%,272 ms
162.159.192.37:3854,0.00%,272 ms
162.159.192.37:968,0.00%,272 ms
188.114.97.163:4233,0.00%,272 ms
162.159.192.49:968,0.00%,272 ms
162.159.192.17:3854,0.00%,272 ms
162.159.192.218:3854,0.00%,272 ms
188.114.97.218:4177,0.00%,272 ms
162.159.195.61:5279,0.00%,272 ms
188.114.97.159:4233,0.00%,272 ms
188.114.97.40:864,0.00%,272 ms
162.159.192.250:946,0.00%,272 ms
162.159.192.11:3854,0.00%,272 ms
162.159.192.11:968,0.00%,272 ms
188.114.97.140:943,0.00%,272 ms
188.114.99.169:4233,0.00%,272 ms
162.159.195.218:3476,0.00%,272 ms
188.114.97.251:987,0.00%,272 ms
188.114.98.234:891,0.00%,272 ms
162.159.192.27:968,0.00%,272 ms
162.159.192.0:968,0.00%,273 ms
188.114.98.60:3581,0.00%,273 ms
162.159.195.150:8742,0.00%,273 ms
162.159.195.125:903,0.00%,273 ms
162.159.192.141:943,0.00%,273 ms
188.114.98.231:891,0.00%,273 ms
188.114.99.102:3476,0.00%,273 ms
188.114.98.151:859,0.00%,273 ms
